name,stars,age_in_years,releases,primary_language,url
iBotPeaches/Apktool,21512,13.00,25,Java,https://github.com/iBotPeaches/Apktool
CodePhiliaX/Chat2DB,20744,1.74,43,Java,https://github.com/CodePhiliaX/Chat2DB
oracle/graal,20694,9.18,32,Java,https://github.com/oracle/graal
openjdk/jdk,20595,6.50,0,Java,https://github.com/openjdk/jdk
CarGuo/GSYVideoPlayer,20584,8.34,48,Java,https://github.com/CarGuo/GSYVideoPlayer
conductor-oss/conductor,20407,1.27,19,Java,https://github.com/conductor-oss/conductor
brettwooldridge/HikariCP,20311,11.45,0,Java,https://github.com/brettwooldridge/HikariCP
didi/DoKit,20289,6.59,10,Java,https://github.com/didi/DoKit
apache/shardingsphere,20114,9.17,58,Java,https://github.com/apache/shardingsphere
mybatis/mybatis-3,19995,12.09,46,Java,https://github.com/mybatis/mybatis-3
ReactiveX/RxAndroid,19867,10.58,20,Java,https://github.com/ReactiveX/RxAndroid
dataease/dataease,19584,4.12,91,Java,https://github.com/dataease/dataease
linlinjava/litemall,19531,6.99,8,Java,https://github.com/linlinjava/litemall
yudaocode/SpringBoot-Labs,19462,6.51,0,Java,https://github.com/yudaocode/SpringBoot-Labs
LSPosed/LSPosed,19443,4.26,39,Java,https://github.com/LSPosed/LSPosed
Baseflow/PhotoView,18831,12.67,5,Java,https://github.com/Baseflow/PhotoView
dianping/cat,18807,12.29,3,Java,https://github.com/dianping/cat
kunal-kushwaha/DSA-Bootcamp-Java,18546,3.63,0,Java,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
thingsboard/thingsboard,18420,8.30,65,Java,https://github.com/thingsboard/thingsboard
forezp/SpringCloudLearning,17924,7.94,0,Java,https://github.com/forezp/SpringCloudLearning
williamfiset/Algorithms,17750,8.00,0,Java,https://github.com/williamfiset/Algorithms
JetBrains/intellij-community,17736,13.47,0,Java,https://github.com/JetBrains/intellij-community
antlr/antlr4,17689,15.12,31,Java,https://github.com/antlr/antlr4
LMAX-Exchange/disruptor,17670,12.49,14,Java,https://github.com/LMAX-Exchange/disruptor
